HPworklaod, HPcorecount, HPscore, LPworklaod, LPcorecount,LPscore, QoS
redis, 24-47,  3.44424e+06, N/A, N/A, N/A, N/A
redis, 24-47,  2.80188e+06, stressapp, 0-23, N/A, N/A
redis, 24-47,  3.35334e+06, stressapp, 0-23, N/A, MBA
redis, 24-47,  3.35329e+06, stressapp, 0-23, N/A, HWDRC
redis, 24-47,  3.44424e+06, N/A, N/A, N/A, N/A
redis, 24-47,  3.59587e+06, rn50, 0-23, 172.151863, N/A
redis, 24-47,  3.49847e+06, rn50, 0-23, 42.751350, MBA
redis, 24-47,  3.43117e+06, rn50, 0-23, 70.743965, HWDRC
redis, 24-47,  3.44424e+06, N/A, N/A, N/A, N/A
redis, 24-47,  2.74432e+06, mlc, 0-23,  188193.5, N/A
redis, 24-47,  3.20735e+06, mlc, 0-23,  21489.3, MBA
redis, 24-47,  3.39476e+06, mlc, 0-23,  21481.7, HWDRC
memcache, 24-47,  2.60514e+06, N/A, N/A, N/A, N/A
memcache, 24-47,  1.82633e+06, stressapp, 0-23, N/A, N/A
memcache, 24-47,  2.46913e+06, stressapp, 0-23, N/A, MBA
memcache, 24-47,  2.35342e+06, stressapp, 0-23, N/A, HWDRC
memcache, 24-47,  2.60514e+06, N/A, N/A, N/A, N/A
memcache, 24-47,  2.5706e+06, rn50, 0-23, 176.168051, N/A
memcache, 24-47,  2.64714e+06, rn50, 0-23, 42.029792, MBA
memcache, 24-47,  2.54299e+06, rn50, 0-23, 71.207213, HWDRC
memcache, 24-47,  2.60514e+06, N/A, N/A, N/A, N/A
memcache, 24-47,  1.82034e+06, mlc, 0-23,  192588.3, N/A
memcache, 24-47,  2.41507e+06, mlc, 0-23,  21801.8, MBA
memcache, 24-47,  2.37536e+06, mlc, 0-23,  21779.8, HWDRC
rn50, 24-47, 205.315104, N/A, N/A, N/A, N/A
rn50, 24-47, 150.501706, stressapp, 0-23, N/A, N/A
rn50, 24-47, 179.858970, stressapp, 0-23, N/A, MBA
rn50, 24-47, 179.151278, stressapp, 0-23, N/A, HWDRC
rn50, 24-47, 205.315104, N/A, N/A, N/A, N/A
rn50, 24-47, 142.000898, rn50, 0-23, 142.000898, N/A
rn50, 24-47, 40.843379, rn50, 0-23, 40.843379, MBA
rn50, 24-47, 58.509394, rn50, 0-23, 58.509394, HWDRC
rn50, 24-47, 205.315104, N/A, N/A, N/A, N/A
rn50, 24-47, 135.893464, mlc, 0-23,  175563.1, N/A
rn50, 24-47, 179.54, mlc, 0-23,  190934.3, MBA
rn50, 24-47, 179.21, mlc, 0-23,  190358.7, HWDRC
mlc, 24-47,  196016.6, N/A, N/A, N/A, N/A
mlc, 24-47,  98202.6, stressapp, 0-23, N/A, N/A
mlc, 24-47,  179208.8, stressapp, 0-23, N/A, MBA
mlc, 24-47,  178267.7, stressapp, 0-23, N/A, HWDRC
mlc, 24-47,  196016.6, N/A, N/A, N/A, N/A
mlc, 24-47,  175563.1, rn50, 0-23, 135.893464, N/A
mlc, 24-47,  190934.3, rn50, 0-23, 40.293814, MBA
mlc, 24-47,  190358.7, rn50, 0-23, 61.793962, HWDRC
mlc, 24-47,  196016.6, N/A, N/A, N/A, N/A
mlc, 24-47,  112361.1, mlc, 0-23,  112361.1, N/A
mlc, 24-47,  17601.8, mlc, 0-23,  17601.8, MBA
mlc, 24-47,  162602.8, mlc, 0-23,  162602.8, HWDRC
